"","alt1_name","alt2_name","Variability_in_Supply","Variability_in_Quality","Water_Quality","Maintenance_Requirements","Failure_Rate","Construction_Cost","Potential_for_NGO.Governmental_Help","Maintenance_Cost","Transportation_Costs","Sense_of_Ownership","Discrimination","Misinformation_","Persons_served","Job_Creation","Prevelence_of_Source","Distance_to_Source","Hazard_Impact","Resilience"
"1","RWH","PSF",-635.38883179171,-412.155555555556,-413.995535714286,-Inf,-618.233333333333,-512.631288004422,-185.47,-986.54255319149,-231.8375,-1059.82857142857,-618.233333333333,-Inf,-1030.38888888889,-1854.7,-6623.92857142857,-316.285811732606,-741.88,-741.88
"2","RWH","TW",-870.195272353546,-564.466666666667,-566.986607142857,-Inf,-846.7,-702.072968490879,-254.01,-1351.1170212766,-317.5125,-1451.48571428571,-846.7,-Inf,-1411.16666666667,-2540.1,-9071.78571428571,-433.168485675307,-1016.04,-1016.04
"3","RWH","Pond",-886.742034943474,-575.2,-577.767857142857,-Inf,-862.8,-715.422885572139,-258.84,-1376.8085106383,-323.55,-1479.08571428571,-862.8,-Inf,-1438,-2588.4,-9244.28571428571,-441.405184174625,-1035.36,-1035.36
"4","RWH","MAR",-1553.27166837958,-1007.55555555556,-1012.05357142857,-Inf,-1511.33333333333,-1253.17855168601,-453.4,-2411.70212765957,-566.75,-2590.85714285714,-1511.33333333333,-Inf,-2518.88888888889,-4534,-16192.8571428571,-773.192360163711,-1813.6,-1813.6
"5","PSF","RWH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","PSF","TW",-133.580198791658,-456.933333333333,-242.963488124778,-85.675,-152.311111111111,-128.641141141141,-274.16,-68.54,-171.35,-130.552380952381,-114.233333333333,-182.773333333333,-161.346516007533,-685.4,-155.772727272727,-115,-Inf,-548.32
"7","PSF","Pond",-142.993568505165,-489.133333333333,-260.085076214109,-91.7125,-163.044444444444,-137.706456456456,-293.48,-73.37,-183.425,-139.752380952381,-122.283333333333,-195.653333333333,-172.716572504708,-733.7,-166.75,-123.104026845638,-Inf,-586.96
"8","PSF","MAR",-522.178912492691,-1786.2,-949.769585253456,-334.9125,-595.4,-502.871621621622,-1071.72,-267.93,-669.825,-510.342857142857,-446.55,-714.48,-630.720338983051,-2679.3,-608.931818181818,-449.546979865772,-Inf,-2143.44
"9","TW","RWH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","TW","PSF",NA,NA,NA,NA,NA,95.4330270119743,NA,68.54,85.675,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","TW","Pond",-7.2861668426611,-10.7333333333334,-19.2200557103066,-8.05000000000007,-10.7333333333334,-6.72514619883047,-19.3200000000002,-4.83000000000004,-6.03750000000005,-9.20000000000008,-10.7333333333334,-19.3200000000002,-96.9879518072297,-48.3000000000004,-9.89754098360664,-23.6764705882355,-9.66000000000008,-9.66000000000008
"12","TW","MAR",-300.784432041032,-443.088888888889,-793.434142459212,-332.316666666667,-443.088888888889,-277.624617098301,-797.56,-199.39,-249.2375,-379.790476190476,-443.088888888889,-797.56,-4003.81526104418,-1993.9,-408.58606557377,-977.401960784314,-398.78,-398.78
"13","Pond","RWH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","Pond","PSF",NA,NA,NA,NA,NA,85.4530631260191,73.37,75.251282051282,91.7125,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","Pond","TW",7.94016110471813,10.7333333333334,7.98611111111118,NA,16.1000000000001,5.62543675751228,4.83000000000004,4.9538461538462,6.03750000000005,13.8000000000001,10.7333333333334,19.3200000000002,11.306179775281,48.3000000000004,17.2500000000001,8.13679245283026,38.6400000000003,38.6400000000003
"16","Pond","MAR",-319.842183133322,-432.355555555555,-321.693121693122,-Inf,-648.533333333333,-226.601444211507,-194.56,-199.548717948718,-243.2,-555.885714285714,-432.355555555555,-778.24,-455.430711610487,-1945.6,-694.857142857143,-327.762803234501,-1556.48,-1556.48
"17","MAR","RWH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","MAR","PSF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","MAR","TW",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","MAR","Pond",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
